Date,Open,High,Low,Close,Adj Close,Volume
1999-03-11,1.167969,1.562500,1.167969,1.464844,0.435185,86256000
1999-03-12,1.468750,1.523438,1.343750,1.457031,0.432864,19948800
1999-03-15,1.460938,1.460938,1.316406,1.324219,0.393407,6336000
1999-03-16,1.335938,1.382813,1.312500,1.312500,0.389925,4992000
1999-03-17,1.312500,1.398438,1.304688,1.320313,0.392247,7724800
1999-03-18,1.328125,1.386719,1.308594,1.343750,0.399209,4070400
1999-03-19,1.359375,1.359375,1.312500,1.312500,0.389925,2873600
1999-03-22,1.312500,1.375000,1.312500,1.320313,0.392247,3116800
1999-03-23,1.320313,1.320313,1.259766,1.261719,0.374839,4988800
1999-03-24,1.277344,1.296875,1.246094,1.273438,0.378321,5484800
1999-03-25,1.281250,1.324219,1.265625,1.320313,0.392247,2105600
1999-03-26,1.335938,1.453125,1.335938,1.417969,0.421259,3721600
1999-03-29,1.441406,1.441406,1.414063,1.433594,0.425901,2316800
1999-03-30,1.439453,1.441406,1.414063,1.417969,0.421259,2022400
1999-03-31,1.414063,1.417969,1.328125,1.347656,0.400370,1270400
1999-04-01,1.335938,1.343750,1.296875,1.304688,0.387605,1225600
1999-04-05,1.332031,1.394531,1.300781,1.359375,0.403851,1574400
1999-04-06,1.343750,1.367188,1.296875,1.302734,0.387024,1843200
1999-04-07,1.335938,1.375000,1.332031,1.343750,0.399209,2444800
1999-04-08,1.347656,1.431641,1.335938,1.398438,0.415456,3689600
1999-04-09,1.382813,1.382813,1.304688,1.375000,0.408494,2668800
1999-04-12,1.355469,1.398438,1.351563,1.369141,0.406753,1401600
1999-04-13,1.369141,1.382813,1.292969,1.308594,0.388765,2140800
1999-04-14,1.312500,1.320313,1.306641,1.308594,0.388765,1145600
1999-04-15,1.320313,1.320313,1.296875,1.308594,0.388765,1321600
1999-04-16,1.312500,1.367188,1.308594,1.359375,0.403851,1884800
1999-04-19,1.320313,1.328125,1.312500,1.312500,0.389925,979200
1999-04-20,1.312500,1.316406,1.250000,1.257813,0.373679,4089600
1999-04-21,1.242188,1.253906,1.226563,1.250000,0.371358,915200
1999-04-22,1.261719,1.351563,1.253906,1.351563,0.401530,3136000
1999-04-23,1.351563,1.359375,1.312500,1.332031,0.395728,3097600
1999-04-26,1.351563,1.351563,1.308594,1.316406,0.391086,320000
1999-04-27,1.339844,1.339844,1.234375,1.250000,0.371358,3513600
1999-04-28,1.250000,1.281250,1.246094,1.250000,0.371358,4848000
1999-04-29,1.250000,1.265625,1.246094,1.257813,0.373679,409600
1999-04-30,1.265625,1.300781,1.265625,1.291016,0.383543,1420800
1999-05-03,1.312500,1.328125,1.292969,1.312500,0.389925,1180800
1999-05-04,1.316406,1.316406,1.300781,1.300781,0.386444,1315200
1999-05-05,1.312500,1.335938,1.312500,1.314453,0.390506,844800
1999-05-06,1.314453,1.351563,1.314453,1.339844,0.398049,809600
1999-05-07,1.320313,1.378906,1.304688,1.378906,0.409654,2096000
1999-05-10,1.378906,1.378906,1.328125,1.339844,0.398049,924800
1999-05-11,1.328125,1.355469,1.328125,1.332031,0.395728,275200
1999-05-12,1.343750,1.351563,1.332031,1.343750,0.399209,822400
1999-05-13,1.351563,1.375000,1.339844,1.375000,0.408494,1955200
1999-05-14,1.351563,1.375000,1.351563,1.367188,0.406172,6016000
1999-05-17,1.355469,1.375000,1.355469,1.357422,0.403271,3356800
1999-05-18,1.363281,1.375000,1.312500,1.312500,0.389925,288000
1999-05-19,1.320313,1.343750,1.312500,1.343750,0.399209,2352000
1999-05-20,1.347656,1.433594,1.324219,1.425781,0.423580,3299200
1999-05-21,1.406250,1.457031,1.394531,1.441406,0.428222,2076800
1999-05-24,1.441406,1.488281,1.429688,1.480469,0.439827,1552000
1999-05-25,1.478516,1.625000,1.476563,1.550781,0.460716,6070400
1999-05-26,1.570313,1.574219,1.433594,1.574219,0.467679,4080000
1999-05-27,1.542969,1.574219,1.500000,1.546875,0.459555,1932800
1999-05-28,1.531250,1.562500,1.519531,1.554688,0.461876,3286400
1999-06-01,1.562500,1.566406,1.539063,1.562500,0.465154,1232000
1999-06-02,1.554688,1.558594,1.535156,1.558594,0.463992,416000
1999-06-03,1.558594,1.558594,1.542969,1.546875,0.460503,320000
1999-06-04,1.562500,1.562500,1.550781,1.550781,0.461666,576000
1999-06-07,1.550781,1.617188,1.550781,1.617188,0.481435,2121600
1999-06-08,1.703125,1.914063,1.695313,1.753906,0.522136,5424000
1999-06-09,1.750000,1.769531,1.515625,1.539063,0.458177,3356800
1999-06-10,1.562500,1.683594,1.554688,1.656250,0.493064,3456000
1999-06-11,1.687500,1.718750,1.660156,1.660156,0.494227,2115200
1999-06-14,1.683594,1.695313,1.664063,1.689453,0.502948,848000
1999-06-15,1.664063,1.695313,1.621094,1.621094,0.482598,1139200
1999-06-16,1.667969,1.687500,1.640625,1.687500,0.502367,713600
1999-06-17,1.640625,1.750000,1.640625,1.734375,0.516321,1478400
1999-06-18,1.718750,1.882813,1.718750,1.882813,0.560511,1718400
1999-06-21,1.863281,1.863281,1.835938,1.863281,0.554697,889600
1999-06-22,1.843750,1.875000,1.734375,1.734375,0.516321,2313600
1999-06-23,1.740234,1.859375,1.734375,1.832031,0.545394,1308800
1999-06-24,1.828125,1.867188,1.802734,1.812500,0.539579,2444800
1999-06-25,1.812500,1.890625,1.812500,1.855469,0.552371,2259200
1999-06-28,1.849609,1.849609,1.781250,1.812500,0.539579,1315200
1999-06-29,1.777344,1.886719,1.777344,1.816406,0.540742,1427200
1999-06-30,1.824219,1.843750,1.804688,1.812500,0.539579,387200
1999-07-01,1.843750,1.855469,1.792969,1.812500,0.539579,432000
